,spot-0,pe-premium-0,ce-premium-0,pe-profit-0,ce-profit-0,spot-1,pe-premium-1,ce-premium-1,pe-profit-1,ce-profit-1
122,37893.7,469.65,385.00,-11.05,57.15,37893.7,469.65,385.00,-11.05,57.15
123,37919.4,454.75,396.15,3.85,46.0,37919.4,454.75,396.15,3.85,46.0
124,37949.2,436.45,409.05,22.15,33.1,37949.2,436.45,409.05,22.15,33.1
125,37934.5,448.60,401.10,10.0,41.05,37934.5,448.60,401.10,10.0,41.05
126,37908.15,459.05,392.50,-0.45,49.65,37908.15,459.05,392.50,-0.45,49.65
127,37920.05,456.60,395.25,2.0,46.9,37920.05,456.60,395.25,2.0,46.9
128,37909.85,458.00,394.75,0.6,47.4,37909.85,458.00,394.75,0.6,47.4
129,37892.4,470.40,383.55,-11.8,58.6,37892.4,470.40,383.55,-11.8,58.6
130,37893.25,470.30,384.35,-11.7,57.8,37893.25,470.30,384.35,-11.7,57.8
131,37899.85,459.40,391.30,-0.8,50.85,37899.85,459.40,391.30,-0.8,50.85
132,37916.6,450.40,398.15,8.2,44.0,37916.6,450.40,398.15,8.2,44.0
133,37934.6,440.10,404.80,18.5,37.35,37934.6,440.10,404.80,18.5,37.35
134,37920.4,456.45,394.90,2.15,47.25,37920.4,456.45,394.90,2.15,47.25
135,37921.95,452.15,396.20,6.45,45.95,37921.95,452.15,396.20,6.45,45.95
136,37924.5,443.05,401.80,15.55,40.35,37924.5,443.05,401.80,15.55,40.35
137,37938.9,438.10,409.40,20.5,32.75,37938.9,438.10,409.40,20.5,32.75
138,37945.35,437.20,406.05,21.4,36.1,37945.35,437.20,406.05,21.4,36.1
139,37921.25,451.70,395.20,6.9,46.95,37921.25,451.70,395.20,6.9,46.95
140,37933.9,447.95,401.50,10.65,40.65,37933.9,447.95,401.50,10.65,40.65
141,37931.65,446.25,401.30,12.35,40.85,37931.65,446.25,401.30,12.35,40.85
142,37933.95,442.35,403.85,16.25,38.3,37933.95,442.35,403.85,16.25,38.3
143,37939.35,438.40,406.15,20.2,36.0,37939.35,438.40,406.15,20.2,36.0
144,37929.1,449.45,399.70,9.15,42.45,37929.1,449.45,399.70,9.15,42.45
145,37910.15,461.80,386.85,-3.2,55.3,37910.15,461.80,386.85,-3.2,55.3
146,37902.2,463.05,386.55,-4.45,55.6,37902.2,463.05,386.55,-4.45,55.6
147,37886.7,473.10,377.50,-14.5,64.65,37886.7,473.10,377.50,-14.5,64.65
148,37887.05,471.45,380.50,-12.85,61.65,37887.05,471.45,380.50,-12.85,61.65
149,37890.55,465.90,384.55,-7.3,57.6,37890.55,465.90,384.55,-7.3,57.6
150,37897.4,466.80,385.25,-8.2,56.9,37897.4,466.80,385.25,-8.2,56.9
151,37778.7,536.95,336.20,-78.35,105.95,37778.7,536.95,336.20,-78.35,105.95
152,37791.05,534.50,340.45,-78.35,105.95,37791.05,534.50,340.45,-78.35,105.95
153,37799.25,546.40,338.35,-78.35,105.95,37799.25,546.40,338.35,-78.35,105.95
154,37767.95,562.85,332.25,-78.35,105.95,37767.95,562.85,332.25,-78.35,105.95
155,37738.2,588.00,315.95,-78.35,105.95,37738.2,588.00,315.95,-78.35,105.95
156,37669.0,629.55,294.00,-78.35,105.95,37669.0,629.55,294.00,-78.35,105.95
157,37717.75,595.10,310.50,-78.35,105.95,37717.75,595.10,310.50,-78.35,105.95
158,37739.95,577.85,318.15,-78.35,105.95,37739.95,577.85,318.15,-78.35,105.95
159,37694.2,607.15,301.35,-78.35,105.95,37694.2,607.15,301.35,-78.35,105.95
160,37724.6,585.40,312.60,-78.35,105.95,37724.6,585.40,312.60,-78.35,105.95
161,37741.35,571.30,318.20,-78.35,105.95,37741.35,571.30,318.20,-78.35,105.95
162,37731.8,578.00,313.65,-78.35,105.95,37731.8,578.00,313.65,-78.35,105.95
163,37755.4,565.55,318.60,-78.35,105.95,37755.4,565.55,318.60,-78.35,105.95
164,37752.15,568.85,318.20,-78.35,105.95,37752.15,568.85,318.20,-78.35,105.95
165,37744.1,570.30,316.80,-78.35,105.95,37744.1,570.30,316.80,-78.35,105.95
166,37742.8,576.35,312.90,-78.35,105.95,37742.8,576.35,312.90,-78.35,105.95
167,37714.35,589.15,305.05,-78.35,105.95,37714.35,589.15,305.05,-78.35,105.95
168,37723.1,580.60,309.40,-78.35,105.95,37723.1,580.60,309.40,-78.35,105.95
